Date,Food_Category,Food_Prepared,Food_Consumed,Leftover,Expected_Customers,Holiday,Special_Event,Weather
2024-01-01,Meals,712,652,60,661,Yes,Yes,Sunny
2024-01-01,Biryani,655,610,45,648,Yes,No,Sunny
2024-01-01,Breakfast,386,359,27,367,Yes,No,Rainy
2024-01-02,Snacks,348,335,13,352,Yes,No,Cloudy
2024-01-02,Dinner,462,426,36,435,No,No,Sunny
2024-01-02,Desserts,242,221,21,231,No,No,Cold
2024-01-03,Meals,338,324,14,351,No,No,Windy
2024-01-03,Biryani,564,533,31,574,No,Yes,Sunny
2024-01-03,Breakfast,349,328,21,324,No,No,Sunny
2024-01-04,Snacks,297,282,15,302,No,No,Cloudy
2024-01-04,Dinner,335,321,14,322,No,No,Rainy
2024-01-04,Desserts,260,231,29,246,Yes,No,Sunny
2024-01-05,Meals,382,365,17,378,No,No,Cloudy
2024-01-05,Biryani,656,595,61,609,No,No,Sunny
2024-01-05,Breakfast,308,300,8,325,No,No,Cold
2024-01-06,Snacks,323,294,29,307,No,No,Sunny
2024-01-06,Dinner,462,441,21,453,No,No,Sunny
2024-01-06,Desserts,342,304,38,315,No,Yes,Sunny
2024-01-07,Meals,509,474,35,500,No,No,Sunny
2024-01-07,Biryani,610,567,43,569,No,No,Rainy
2024-01-07,Breakfast,571,558,13,587,Yes,Yes,Windy
2024-01-08,Snacks,240,232,8,240,No,No,Sunny
2024-01-08,Dinner,346,318,28,336,No,No,Sunny
2024-01-08,Desserts,219,204,15,206,No,No,Rainy
2024-01-09,Meals,318,305,13,328,No,No,Rainy
2024-01-09,Biryani,461,442,19,470,No,No,Sunny
2024-01-09,Breakfast,327,307,20,326,No,No,Windy
2024-01-10,Snacks,266,251,15,257,No,No,Cold
2024-01-10,Dinner,418,394,24,410,No,No,Sunny
2024-01-10,Desserts,223,205,18,221,No,No,Cold
2024-01-11,Meals,417,398,19,414,No,No,Sunny
2024-01-11,Biryani,537,498,39,495,No,No,Sunny
2024-01-11,Breakfast,481,467,14,465,Yes,No,Cloudy
2024-01-12,Snacks,287,272,15,294,No,No,Sunny
2024-01-12,Dinner,477,434,43,428,No,No,Cloudy
2024-01-12,Desserts,293,260,33,274,No,No,Sunny
2024-01-13,Meals,422,406,16,404,No,No,Sunny
2024-01-13,Biryani,723,665,58,679,No,Yes,Sunny
2024-01-13,Breakfast,477,455,22,464,No,Yes,Windy
2024-01-14,Snacks,361,345,16,348,No,No,Sunny
2024-01-14,Dinner,491,447,44,463,No,No,Sunny
2024-01-14,Desserts,357,318,39,337,No,Yes,Sunny
2024-01-15,Meals,462,431,31,436,No,No,Sunny
2024-01-15,Biryani,552,521,31,521,No,No,Sunny
2024-01-15,Breakfast,331,319,12,328,No,No,Sunny
2024-01-16,Snacks,297,284,13,289,No,No,Sunny
2024-01-16,Dinner,399,388,11,410,No,No,Cloudy
2024-01-16,Desserts,251,229,22,231,No,No,Sunny
2024-01-17,Meals,631,580,51,596,No,Yes,Sunny
2024-01-17,Biryani,402,365,37,384,No,No,Sunny
2024-01-17,Breakfast,323,301,22,324,No,No,Windy
2024-01-18,Snacks,351,321,30,344,No,No,Rainy
2024-01-18,Dinner,402,382,20,385,No,No,Cloudy
2024-01-18,Desserts,232,216,16,216,No,No,Windy
2024-01-19,Meals,632,595,37,595,No,Yes,Windy
2024-01-19,Biryani,508,483,25,524,No,No,Sunny
2024-01-19,Breakfast,342,315,27,329,No,No,Cold
2024-01-20,Snacks,446,407,39,434,No,Yes,Cold
2024-01-20,Dinner,618,580,38,592,No,Yes,Sunny
2024-01-20,Desserts,258,230,28,251,No,No,Cloudy
2024-01-21,Meals,447,425,22,431,No,No,Cloudy
2024-01-21,Biryani,569,533,36,561,No,No,Sunny
2024-01-21,Breakfast,534,503,31,498,No,Yes,Sunny
2024-01-22,Snacks,263,249,14,263,No,No,Sunny
2024-01-22,Dinner,344,315,29,326,No,No,Rainy
2024-01-22,Desserts,239,217,22,224,No,No,Sunny
2024-01-23,Meals,375,364,11,388,No,No,Cloudy
2024-01-23,Biryani,416,390,26,421,No,No,Cloudy
2024-01-23,Breakfast,302,296,6,301,No,No,Cloudy
2024-01-24,Snacks,280,269,11,280,No,No,Sunny
2024-01-24,Dinner,397,366,31,380,No,No,Sunny
2024-01-24,Desserts,273,244,29,241,No,No,Rainy
2024-01-25,Meals,424,392,32,389,No,No,Rainy
2024-01-25,Biryani,429,393,36,400,No,No,Sunny
2024-01-25,Breakfast,333,320,13,338,No,No,Sunny
2024-01-26,Snacks,340,315,25,319,No,No,Sunny
2024-01-26,Dinner,545,499,46,519,Yes,No,Rainy
2024-01-26,Desserts,297,274,23,275,No,No,Windy
2024-01-27,Meals,621,582,39,586,Yes,No,Windy
2024-01-27,Biryani,678,638,40,692,No,Yes,Sunny
2024-01-27,Breakfast,446,426,20,462,No,Yes,Rainy
2024-01-28,Snacks,473,446,27,478,No,Yes,Rainy
2024-01-28,Dinner,762,701,61,705,Yes,Yes,Sunny
2024-01-28,Desserts,357,316,41,325,No,Yes,Sunny
2024-01-29,Meals,387,371,16,366,No,No,Cloudy
2024-01-29,Biryani,547,507,40,514,Yes,No,Sunny
2024-01-29,Breakfast,343,334,9,336,No,No,Cloudy
2024-01-30,Snacks,305,290,15,315,No,No,Sunny
2024-01-30,Dinner,398,371,27,376,No,No,Sunny
2024-01-30,Desserts,221,207,14,212,No,No,Windy
2024-01-31,Meals,377,358,19,369,No,No,Sunny
2024-01-31,Biryani,515,475,40,468,No,No,Sunny
2024-01-31,Breakfast,318,296,22,313,No,No,Sunny
2024-02-01,Snacks,209,200,9,202,No,No,Sunny
2024-02-01,Dinner,412,385,27,399,No,No,Sunny
2024-02-01,Desserts,288,268,20,286,No,Yes,Windy
2024-02-02,Meals,434,396,38,431,No,No,Windy
2024-02-02,Biryani,630,579,51,582,No,No,Rainy
2024-02-02,Breakfast,376,362,14,366,No,No,Cloudy
2024-02-03,Snacks,333,317,16,319,No,No,Sunny
2024-02-03,Dinner,494,456,38,469,No,No,Sunny
2024-02-03,Desserts,308,281,27,277,No,No,Cloudy
2024-02-04,Meals,573,537,36,583,No,Yes,Sunny
2024-02-04,Biryani,592,538,54,577,No,No,Cloudy
2024-02-04,Breakfast,311,287,24,311,No,No,Rainy
2024-02-05,Snacks,284,265,19,286,No,No,Sunny
2024-02-05,Dinner,421,389,32,418,Yes,No,Rainy
2024-02-05,Desserts,296,272,24,280,No,No,Sunny
2024-02-06,Meals,447,414,33,423,No,No,Cold
2024-02-06,Biryani,525,500,25,508,No,No,Sunny
2024-02-06,Breakfast,392,379,13,400,No,Yes,Sunny
2024-02-07,Snacks,361,330,31,334,No,No,Rainy
2024-02-07,Dinner,432,402,30,413,No,No,Cloudy
2024-02-07,Desserts,213,197,16,211,No,No,Sunny
2024-02-08,Meals,473,432,41,437,No,No,Sunny
2024-02-08,Biryani,492,460,32,498,No,No,Sunny
2024-02-08,Breakfast,387,357,30,366,No,No,Sunny
2024-02-09,Snacks,293,271,22,294,No,No,Sunny
2024-02-09,Dinner,504,474,30,482,No,No,Windy
2024-02-09,Desserts,322,288,34,292,No,No,Sunny
2024-02-10,Meals,503,479,24,497,No,No,Cold
2024-02-10,Biryani,623,574,49,564,No,No,Rainy
2024-02-10,Breakfast,478,463,15,465,No,Yes,Sunny
2024-02-11,Snacks,271,247,24,265,No,No,Cloudy
2024-02-11,Dinner,613,561,52,551,No,Yes,Rainy
2024-02-11,Desserts,367,331,36,342,No,Yes,Cloudy
2024-02-12,Meals,437,414,23,425,No,No,Cloudy
2024-02-12,Biryani,473,447,26,445,No,No,Windy
2024-02-12,Breakfast,252,243,9,257,No,No,Cold
2024-02-13,Snacks,318,298,20,319,No,No,Rainy
2024-02-13,Dinner,322,299,23,319,No,No,Rainy
2024-02-13,Desserts,230,207,23,224,No,No,Cloudy
2024-02-14,Meals,396,372,24,366,No,No,Sunny
2024-02-14,Biryani,633,575,58,572,Yes,No,Rainy
2024-02-14,Breakfast,292,284,8,289,No,No,Rainy
2024-02-15,Snacks,264,246,18,249,No,No,Sunny
2024-02-15,Dinner,383,354,29,357,No,No,Windy
2024-02-15,Desserts,339,302,37,308,No,Yes,Sunny
2024-02-16,Meals,512,483,29,480,No,No,Sunny
2024-02-16,Biryani,619,584,35,585,No,No,Sunny
2024-02-16,Breakfast,273,267,6,285,No,No,Rainy
2024-02-17,Snacks,380,358,22,384,No,Yes,Windy
2024-02-17,Dinner,633,597,36,639,No,Yes,Cloudy
2024-02-17,Desserts,264,236,28,250,No,No,Sunny
2024-02-18,Meals,425,405,20,398,No,No,Sunny
2024-02-18,Biryani,636,583,53,590,No,No,Rainy
2024-02-18,Breakfast,440,422,18,431,Yes,No,Windy
2024-02-19,Snacks,354,329,25,332,No,No,Cloudy
2024-02-19,Dinner,372,348,24,361,No,No,Windy
2024-02-19,Desserts,301,281,20,283,No,Yes,Sunny
2024-02-20,Meals,382,365,17,364,No,No,Cold
2024-02-20,Biryani,454,427,27,430,No,No,Cloudy
2024-02-20,Breakfast,397,365,32,368,No,No,Sunny
2024-02-21,Snacks,274,266,8,267,No,No,Sunny
2024-02-21,Dinner,392,358,34,358,No,No,Cloudy
